"filename", "language", "Solidity", "comment", "blank", "total"
"/home/mihai/Projects/Password-Shielded-Transfer/src/PST.sol", "Solidity", 929, 88, 184, 1201
"/home/mihai/Projects/Password-Shielded-Transfer/src/libraries/PreApprovedTokensLib.sol", "Solidity", 32, 1, 6, 39
"/home/mihai/Projects/Password-Shielded-Transfer/src/libraries/TransferFeeLib.sol", "Solidity", 39, 1, 8, 48
"Total", "-", 1000, 90, 198, 1288
